"Station";"Polluant";"Mesure";"Unité";"novembre_2015";"décembre_2015";"janvier_2016";"Février_2016";"mars_2016";"avril_2016";"mai_2016";"juin_2016";"juillet_2016";"août_2016";"septembre_2016";"octobre_2016"
"Est_lyonnais_Vaulx_en_Velin";"Dioxyde_d'azote";"Dioxyde_d'azote";"microg/m3";"33";"41";"33";"30";"26";"17";"16";"13";"12";"13";"17";"19"
"Est_lyonnais_Vaulx_en_Velin";"Monoxyde_d'azote";"Monoxyde_d'azote";"microg/m3";"40";"47";"17";"15";"7";"4";"5";"4";"3";"2";"4";"7"
"Est_lyonnais_Vaulx_en_Velin";"Ozone";"Ozone";"microg/m3";"15";"17";"24";"32";"43";"55";"61";"55";"66";"58";"54";"23"
"Est_lyonnais_Vaulx_en_Velin";"Particules_PM10";"Particules_PM10";"microg/m3";"28";"34";"21";"24";"27";"15";"13";"12";"16";"15";"17";"16"
"Est_lyonnais_Vaulx_en_Velin";"Particules_PM2,5";"Particules_PM2.5";"microg/m3";"17";"20";"12";"13";"16";"5";"_";"8";"11";"9";"11";"12"
"Lyon_Centre";"Arsenic";"Arsenic";"nanog/m3";"0,63";"0,69";"0,48";"0,48";"0,5";"0,31";"0,37";"0,29";"0,27";"0,29";"0,42";"0,4"
"Lyon_Centre";"Benzène";"Benzène";"microg/m3";"1,73";"1,59";"1,2";"1,2";"1,06";"0,65";"_";"_";"_";"_";"_";"_"
"Lyon_Centre";"Benzo(a)pyrène";"Benzo(a)Pyrène";"nanog/m3";"0,611";"0,507";"0,254";"0,224";"0,108";"0,053";"0,023";"0,024";"_";"_";"_";"_"
"Lyon_Centre";"Cadmium";"Cadmium";"nanog/m3";"0,28";"0,25";"0,18";"0,13";"0,13";"0,1";"0,12";"0,04";"0,04";"0,05";"0,08";"0,09"
"Lyon_Centre";"Dioxyde_d'azote";"Dioxyde_d'azote";"microg/m3";"46";"51";"39";"37";"30";"23";"22";"20";"20";"22";"26";"28"
"Lyon_Centre";"Dioxyde_soufre";"Dioxyde_de_soufre";"microg/m3";"2";"2";"1";"1";"0";"_";"1";"1";"1";"_";"_";"_"
"Lyon_Centre";"Monoxyde_d'azote";"Monoxyde_d'azote";"microg/m3";"43";"54";"16";"16";"6";"4";"3";"4";"2";"2";"5";"9"
"Lyon_Centre";"Nickel";"Nickel";"nanog/m3";"2,08";"3,15";"1,74";"1,37";"1,16";"1,42";"1,23";"1,12";"0,8";"9,79";"1,47";"1,09"
"Lyon_Centre";"Ozone";"Ozone";"microg/m3";"14";"14";"23";"29";"43";"55";"61";"55";"65";"63";"_";"28"
"Lyon_Centre";"Particules_PM10";"Particules_PM10";"microg/m3";"28";"34";"20";"23";"26";"16";"14";"13";"17";"16";"19";"17"
"Lyon_Centre";"Particules_PM2,5";"Particules_PM2.5";"microg/m3";"22";"26";"13";"16";"20";"10";"9";"8";"11";"10";"12";"13"
"Lyon_Centre";"Plomb";"Plomb";"nanog/m3";"9,65";"11,03";"13,59";"9,15";"5,8";"3,9";"3,86";"2,42";"2,64";"2,47";"4,11";"4,84"
"Lyon_Gerland";"Dioxyde_d'azote";"Dioxyde_d'azote";"microg/m3";"48";"49";"38";"37";"33";"27";"23";"22";"23";"26";"33";"33"
"Lyon_Gerland";"Monoxyde_d'azote";"Monoxyde_d'azote";"microg/m3";"56";"76";"23";"21";"12";"7";"6";"6";"3";"3";"8";"16"
"Lyon_Gerland";"Ozone";"Ozone";"microg/m3";"12";"12";"22";"30";"38";"50";"57";"49";"58";"52";"51";"21"
"Lyon_Gerland";"Particules_PM10";"Particules_PM10";"microg/m3";"35";"42";"25";"30";"32";"19";"17";"15";"19";"17";"23";"18"
"Lyon_Périphérique";"Dioxyde_d'azote";"Dioxyde_d'azote";"microg/m3";"95";"75";"69";"73";"72";"64";"56";"70";"75";"70";"73";"71"
"Lyon_Périphérique";"Monoxyde_carbone";"Monoxyde_carbone";"microg/m3";"525";"595";"466";"431";"395";"291";"239";"204";"230";"222";"269";"323"
"Lyon_Périphérique";"Monoxyde_d'azote";"Monoxyde_d'azote";"microg/m3";"140";"138";"96";"98";"79";"65";"48";"59";"50";"43";"61";"99"
"Lyon_Périphérique";"Particules_PM10";"Particules_PM10";"microg/m3";"36";"43";"29";"31";"32";"17";"16";"19";"27";"23";"28";"27"
"Lyon_Saint_Just";"Dioxyde_d'azote";"Dioxyde_d'azote";"microg/m3";"45";"45";"31";"27";"28";"23";"20";"18";"19";"22";"26";"34"
"Lyon_Saint_Just";"Monoxyde_d'azote";"Monoxyde_d'azote";"microg/m3";"41";"51";"15";"13";"8";"5";"3";"3";"2";"2";"5";"11"
"Lyon_Saint_Just";"Ozone";"Ozone";"microg/m3";"17";"18";"25";"33";"42";"53";"59";"51";"61";"61";"58";"26"
"Lyon_Trafic_Jaurès";"Dioxyde_d'azote";"Dioxyde_d'azote";"microg/m3";"_";"_";"48";"47";"43";"36";"33";"31";"32";"34";"41";"37"
"Lyon_Trafic_Jaurès";"Monoxyde_d'azote";"Monoxyde_d'azote";"microg/m3";"_";"_";"34";"31";"20";"13";"11";"10";"6";"6";"11";"21"
"Lyon_Trafic_Jaurès";"Particules_PM10";"Particules_PM10";"microg/m3";"_";"_";"25";"26";"30";"19";"19";"16";"19";"19";"26";"22"
"Lyon_Tunnel_Croix_Rousse_Sortie_Rhône";"Dioxyde_d'azote";"Dioxyde_d'azote";"microg/m3";"59";"70";"63";"60";"58";"59";"67";"59";"69";"59";"56";"53"
"Lyon_Tunnel_Croix_Rousse_Sortie_Rhône";"Monoxyde_d'azote";"Monoxyde_d'azote";"microg/m3";"63";"79";"60";"44";"32";"31";"36";"32";"44";"41";"41";"57"
"Lyon_Tunnel_Croix_Rousse_Sortie_Rhône";"Particules_PM10";"Particules_PM10";"microg/m3";"33";"38";"26";"25";"28";"19";"20";"17";"23";"23";"25";"23"
